epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9791,2.01592,5.63357,4.2107,0,0,0,0,2.7257,5.82117,4.36462,5.91694e-05,5.91694e-05,5.91694e-05
2,66.7262,1.23232,4.76259,2.91891,0.21871,0.21459,0.06694,0.0507,0.98365,4.10931,2.38897,0.000112954,0.000112954,0.000112954
3,99.5858,0.55701,3.14737,1.61103,0.10612,0.45773,0.12328,0.11422,0.50032,2.9542,1.38728,0.000160831,0.000160831,0.000160831
4,132.362,0.32179,2.57332,1.0767,0.08834,0.6447,0.14766,0.14179,0.33893,2.53486,1.04997,0.000152418,0.000152418,0.000152418
5,164.736,0.22922,2.4084,0.94526,0.09774,0.6373,0.17066,0.16553,0.27803,2.37296,0.97245,0.000143558,0.000143558,0.000143558
6,197.369,0.18857,2.29236,0.89097,0.10723,0.57768,0.19164,0.18683,0.26174,2.2626,0.92336,0.000134697,0.000134697,0.000134697
7,229.812,0.16957,2.22562,0.86979,0.13615,0.50409,0.21787,0.21354,0.23845,2.24466,0.90939,0.000125837,0.000125837,0.000125837
8,262.238,0.15785,2.15407,0.85434,0.17828,0.44522,0.2583,0.25296,0.23661,2.22838,0.89417,0.000116976,0.000116976,0.000116976
9,295.013,0.14845,2.07925,0.84667,0.18886,0.45046,0.27304,0.26881,0.22171,2.11725,0.8819,0.000108116,0.000108116,0.000108116
10,327.41,0.14187,2.01302,0.8387,0.2798,0.3866,0.29885,0.29486,0.21299,2.14823,0.87789,9.92555e-05,9.92555e-05,9.92555e-05
11,392.473,0.13862,1.95156,0.83645,0.23977,0.36948,0.31655,0.31209,0.20837,2.07845,0.87365,9.0395e-05,9.0395e-05,9.0395e-05
12,424.929,0.13603,1.86756,0.83246,0.25369,0.41382,0.33669,0.33215,0.21058,2.02875,0.86963,8.15345e-05,8.15345e-05,8.15345e-05
13,458.216,0.13001,1.77376,0.82742,0.30665,0.35618,0.34539,0.34096,0.21048,2.04998,0.86505,7.2674e-05,7.2674e-05,7.2674e-05
14,491.552,0.13015,1.6977,0.82646,0.28758,0.41558,0.36311,0.35866,0.20489,2.03659,0.86581,6.38135e-05,6.38135e-05,6.38135e-05
15,524.939,0.1284,1.62196,0.82537,0.27874,0.36402,0.34802,0.34463,0.20548,2.03612,0.86442,5.4953e-05,5.4953e-05,5.4953e-05
16,558.773,0.12165,1.52142,0.82127,0.32483,0.39368,0.36379,0.35945,0.20394,2.0425,0.86108,4.60925e-05,4.60925e-05,4.60925e-05
17,592.397,0.12291,1.47843,0.82294,0.3399,0.37029,0.36582,0.36083,0.20904,2.05596,0.86464,3.7232e-05,3.7232e-05,3.7232e-05
18,625.642,0.11925,1.38928,0.82036,0.33489,0.37087,0.3682,0.36314,0.20506,2.05821,0.86196,2.83715e-05,2.83715e-05,2.83715e-05
19,659.073,0.11733,1.32502,0.81878,0.28705,0.40303,0.35985,0.35529,0.20801,2.05088,0.86274,1.9511e-05,1.9511e-05,1.9511e-05
20,691.925,0.11649,1.29462,0.81816,0.29721,0.38429,0.36632,0.3618,0.20811,2.07876,0.86298,1.06505e-05,1.06505e-05,1.06505e-05
